Word,Type,Definition1,Definition2,Example,Synonym
taga,verb,from,,taga asa ka?,gikan
magikero,noun,magic,magician,mag kaon ko ang pagkaon pas-pas kaayo sama sa magikero ko,
unlan,noun,pillow,,kini unlan kay nindot,
mani,food,peanut,,,
ko,pronoun,I,me,-,ako
silingan,noun,neighbor,,among mga silingan kay OK lang,
didto,,there,,,
ikaw,pronoun,you,-,-,ka
importante,expression,important,,,
libog,,confuse,,,
parat,,salty,,,
matay,verb,die,,,
bong-bong,noun,wall,-,ang kaka naa sa bongbong,-
tinidor,noun,fork,,,
adto,verb,go,-,adto ta sa bukid,-
putang ina,expression,curse word,mother bitch,,
puti,color,white,,,bugase
init,,hot,,,
permi,permanently,permanently,always,gihigugma ko nimo permeng,
apo,noun,grandchild,,,
oo,,yes,,,"gani,bitaw"
pa-a,body,leg,,,
tubol,noun,poop,,kinahanglan tubol karon ko,
ngano,5Ws,why,,nganong gibuhat nimo kana?,
sabak,verb,sit (on the lap),womb?,sabak ka akong lap,-
amo,,boss,,,
langoy,verb,swim,,gusto langoy ko karon uban tanan,
gabiuna,noun,last night,before,"nag gawas mi sa gabiuna, naa lingaw mi kaayo",kagabii
kami,,we,us,,kita
panagtapok,noun,gathering,meeting,Naa ko panagtapok unya a las gabii,
tasa,mug,mug,cup,kini tasa kay akong paborito,-
sabong,expression,cock fight,,gusto go mag adto sa sabong usa adlaw,
lugar,noun,place,,gusto ko mag adto ta mga lugar,dapit
agila,animal,eagle,,,
tingali,expression,maybe,i think,muabot siya a las 3 oras tingali,
bitaw,expression,yes,of course,,"gani,oo"
panapton,noun,clothes,,,sanina
opisina,noun,office,,,
gutom,,hunger,,,
among,pronoun,our,implicate,adto ta sa among balay karon,-
libro,noun,book,,,
kalye,road,street,-,ang mercado sa kiliran ang kalye,dalan
kaayo,adverb,very,,kini nga pagkaon lami kaayo,
lang,,just,simply,,ra
