Word,Type,Definition1,Definition2,Example,Synonym
estorya,noun,story,talk,kabalo ka mo estorya ug Ininglis?,isulti
disturbo,verb,disturb,,sila nag disturbo siya,
mingaw,verb,miss,lonely,gimingaw ko nimo,inusara
hinamigo,expression,friendly,,pilipinos kay hinamigo kaayo,
ayaw,verb,do not,stop,ayaw kaon ka akong pagkaon,
ngipon,body,teeth,,,
mata,verb/noun,eye,look,,"tanaw,tutuk"
langnam,,bird,,,
kaila,verb,meet,acquaint,,
tabang,noun,help,aid,Tabang ko!,
sabon,noun,soap,,,
ngipon,body,teeth,,,
huwebes,weekday,Thursday,,,
away,verb,fight,enemy,si pepper ug mochi permi away-away,
ugma,expression,tomorrow,,,
hilak,verb,cry,,,
dili,,no,,dili storya ka,di/wala
gayud,expression,never,,,
lemonsito,food,lemon,lime,gusto ka kay mga lemonsito?,-
tulog,verb,sleep,,,
martes,weekday,Tuesday,,,
buang,verb,crazy,fool,,
baga,adjective,thick,,ang karne sa baga,
gwapo,,handsome,,,
dagan,verb,run,,dagan ka paspas kaayo,
duha,number,two,,,
dila,body,tounge,,,
antipara,noun,sunglasses,glasses,ganahan ko imong antipara,
tuig,expression,year,,,
biyernes,weekday,Friday,,,
bahin,,bit,about,,
silhig,noun,broom,sweep,"asa ang silhig, gusto ko limpyo karon",-
agila,animal,eagle,,,
strikto,verb,strict,,,
humot,adjective,fragrant,,,
sakit,verb,pain,sick,sakit akong likod,
ipailaila,verb,introduce,meet,"mag ipailaila sila, way balaka ka",kaila
tambok,,fat,,,
ipis,animal,cockroach,,,
gaan,adjective,light,,,imong timbang kay gaan kaayo
kaayo,adverb,very,,kini nga pagkaon lami kaayo,
dulong,adjective,toward,headed,asa ka padulong?,
paghuman,verb,finish,after,"paghuman ko, muadto ta sa merkado",kompleto
presyo,noun,price,fee,tagpila ang presyo para kiri?,bayad
grabe,adjective,severe,great,imong buhok grabe nindot,
tinud anay,expression,in reality,true,,
atsara,food,pickle,,,
talagsa,expression,rarely,,,
paki,expression,please,,paki balika,palihug
dai,,never,,dili gayud,dili gayud
saging,food,banana,,,
kabaliktaran,adjective,opposite,inverted,atong kay kabaliktaran,
anibersaryo,noun,anniversary,,,
seguro na,expression,forsure,,,
